region,scenario,sector,indicator,year,value,unit,version,comments,source
CAN,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1990,594.72,MtCO2e (GWP-AR4),2022-10-01,"Historical emissions, excl forestry",Latest country assessment
CAN,Historical,LULUCF,Emissions (absolute),1990,-63.54,MtCO2e (GWP-AR4),2022-10-01,Historical emissions/removals from forestry,Latest country assessment
BRA,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1990,653.85,MtCO2e (GWP-AR4),2023-12-01,"Historical emissions, excl forestry",Latest country assessment
BRA,Historical,LULUCF,Emissions (absolute),1990,913.03,MtCO2e (GWP-AR4),2023-12-01,Historical emissions/removals from forestry,Latest country assessment
BTN,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1990,0.81,MtCO2e (GWP-AR4),2023-07-01,"Historical emissions, excl forestry",Latest country assessment
AUS,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1990,425.49,MtCO2e (GWP-AR4),2023-12-01,"Historical emissions, excl forestry",Latest country assessment
AUS,Historical,LULUCF,Emissions (absolute),1990,196.56,MtCO2e (GWP-AR4),2023-12-01,Historical emissions/removals from forestry,Latest country assessment
ARG,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1990,228.21,MtCO2e (GWP-AR4),2023-07-01,"Historical emissions, excl forestry",Latest country assessment
ARG,Historical,LULUCF,Emissions (absolute),1990,48.43,MtCO2e (GWP-AR4),2023-07-01,Historical emissions/removals from forestry,Latest country assessment
ZAF,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1990,354.66,MtCO2e (GWP-AR4),2023-08-01,Historical dataset,Latest country assessment
ZAF,Historical,LULUCF,Emissions (absolute),1990,-16.98,MtCO2e (GWP-AR4),2023-08-01,Historical dataset,Latest country assessment
VNM,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1991,101.66,MtCO2e (GWP-AR4),2023-11-01,"Historical emissions, excl forestry",Latest country assessment
USA,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1991,6382.21,MtCO2e (GWP-AR4),2023-11-01,"Historical emissions, excl forestry",Latest country assessment
USA,Historical,LULUCF,Emissions (absolute),1991,-892.33,MtCO2e (GWP-AR4),2023-11-01,Historical emissions/removals from forestry,Latest country assessment
UKR,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1991,856.18,MtCO2e (GWP-AR4),2021-11-01,"Historical emissions, excl forestry",Latest country assessment
UKR,Historical,LULUCF,Emissions (absolute),1991,-62.62,MtCO2e (GWP-AR4),2021-11-01,Historical emissions/removals from forestry,Latest country assessment
GBR,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1991,800.57,MtCO2e (GWP-AR4),2023-08-01,"Historical emissions, excl forestry",Latest country assessment
GBR,Historical,LULUCF,Emissions (absolute),1991,10.46,MtCO2e (GWP-AR4),2023-08-01,Historical emissions/removals from forestry,Latest country assessment
ARE,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1991,67.1,MtCO2e (GWP-AR4),2023-11-01,"Historical emissions, excl forestry",Latest country assessment
ARE,Historical,LULUCF,Emissions (absolute),1991,0,MtCO2e (GWP-AR4),2023-11-01,Historical emissions/removals from forestry,Latest country assessment
TUR,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1991,227.1,MtCO2e (GWP-AR4),2023-05-01,"Historical emissions, excl forestry",Latest country assessment
TUR,Historical,LULUCF,Emissions (absolute),1991,-56.69,MtCO2e (GWP-AR4),2023-05-01,Historical emissions/removals from forestry,Latest country assessment
THA,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1991,160,MtCO2e (GWP-AR4),2023-10-01,"Historical emissions, excl forestry",Latest country assessment
CHE,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1991,52.13,MtCO2e (GWP-AR4),2023-06-01,"Historical emissions, excl forestry",Latest country assessment
CHE,Historical,LULUCF,Emissions (absolute),1991,-4.89,MtCO2e (GWP-AR4),2023-06-01,Historical emissions/removals from forestry,Latest country assessment
KOR,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1991,324.68,MtCO2e (GWP-AR4),2023-06-01,"Historical emissions, excl forestry",Latest country assessment
KOR,Historical,LULUCF,Emissions (absolute),1991,-33.53,MtCO2e (GWP-AR4),2023-06-01,Historical emissions/removals from forestry,Latest country assessment
SGP,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1991,22.26,MtCO2e (GWP-AR4),2023-09-01,"Historical emissions, excl forestry",Latest country assessment
SAU,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1991,327,MtCO2e (GWP-AR4),2023-09-01,"Historical emissions, excl forestry",Latest country assessment
RUS,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1991,3005.32,MtCO2e (GWP-AR4),2023-11-01,"Historical emissions, excl forestry",Latest country assessment
